location_name,country,temperature_celsius,apparent_temp_c,air_quality_us-epa-index,ed_score,ed_category,anomaly_score,anomaly_methods
Ulaanbaatar,Mongolia,-17.6,-17.6,1,29.577999712160217,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-20.9,-20.9,1,34.538516861039994,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Vilnius,Lithuania,-16.0,-16.0,1,26.160869976203543,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Astana,Kazakhstan,-16.7,-16.7,1,31.03047636544102,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Ottawa,Canada,-16.9,-16.9,1,29.785845853982938,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Minsk,Belarus,-24.9,-24.9,1,33.96510495983788,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Ulaanbaatar,Mongolia,-15.9,-15.9,2,34.251454983843445,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Ottawa,Canada,-25.0,-25.0,1,27.5,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Canberra,Australia,39.1,39.1,1,26.833333333333336,ED_MODERATE_SAFE,3,"iso_forest, lof, hot_but_safe"
Moscow,Russia,-20.9,-20.9,1,33.19913278589689,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Manila,Philippines,31.2,41.8,1,31.82307692307692,ED_MODERATE_SAFE,3,"iso_forest, lof, hot_but_safe"
Ulaanbaatar,Mongolia,-18.7,-18.7,1,32.47882272093616,ED_MODERATE_SAFE,3,"iso_forest, lof, cold_but_safe"
Nassau,Bahamas,29.2,38.8,2,34.33333333333333,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Santiago,Chile,6.3,6.3,5,48.0,ED_CAUTION,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,6.1,6.1,1,0.49155971943054055,ED_VERY_SAFE,2,"iso_forest, lof"
Bucharest,Romania,-7.8,-7.8,3,29.7,ED_MODERATE_SAFE,2,"iso_forest, lof"
Kyiv,Ukraine,-19.1,-19.1,1,28.586831810281996,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Moscow,Russia,-3.7,-3.7,6,58.989000451680454,ED_DANGEROUS,2,"iso_forest, lof"
Phnom Penh,Cambodia,33.3,44.2,1,33.69230769230769,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Kyiv,Ukraine,-21.3,-21.3,1,29.749879998660422,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Bucharest,Romania,-3.7,-3.7,4,44.671918915101436,ED_CAUTION,2,"iso_forest, lof"
Vilnius,Lithuania,-19.6,-19.6,1,26.520601413982636,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Vestmannaeyjar,Iceland,8.3,8.3,1,3.0,ED_VERY_SAFE,2,"iso_forest, lof"
Astana,Kazakhstan,-12.8,-12.8,1,23.987127604240726,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Helsinki,Finland,-19.6,-19.6,1,29.68631228196991,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Warsaw,Poland,-15.6,-15.6,2,33.865464791789336,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Pretoria,South Africa,27.1,27.1,3,27.300000000000004,ED_MODERATE_SAFE,2,"iso_forest, lof"
Amman,Jordan,9.8,9.8,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Helsinki,Finland,-21.8,-21.8,1,32.256539845980996,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Beijing,China,5.1,5.1,2,8.0,ED_VERY_SAFE,2,"iso_forest, lof"
Riga,Latvia,-23.8,-23.8,1,33.93231771225006,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Vilnius,Lithuania,-23.9,-23.9,1,31.312266466646832,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Santiago,Chile,5.2,5.2,5,49.0,ED_CAUTION,2,"iso_forest, lof"
Chi Chi Khvar,Iran,1.0,1.0,3,19.7941967875613,ED_MODERATE_SAFE,2,"iso_forest, lof"
Minsk,Belarus,-21.0,-21.0,1,29.456529003561112,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Ulaanbaatar,Mongolia,-14.8,-14.8,4,58.761794041594385,ED_DANGEROUS,2,"iso_forest, lof"
Manila,Philippines,31.3,38.5,1,25.833333333333336,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Helsinki,Finland,-19.7,-19.7,1,29.562976377470093,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Tallinn,Estonia,-14.0,-14.0,1,23.494376981219155,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
New Delhi,India,30.1,31.6,5,67.80000000000001,ED_DANGEROUS,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,8.4,8.4,1,3.0,ED_VERY_SAFE,2,"iso_forest, lof"
Helsinki,Finland,-23.9,-23.9,1,31.719052903085743,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Astana,Kazakhstan,-17.8,-17.8,1,27.55518160951377,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Riga,Latvia,-14.7,-14.7,1,24.647615571831462,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Vilnius,Lithuania,-17.0,-17.0,1,28.10314200000799,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Moscow,Russia,-4.8,-4.8,4,44.887058083709164,ED_CAUTION,2,"iso_forest, lof"
Belgrade,Serbia,3.2,3.2,4,32.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Doha,Qatar,40.2,41.7,3,60.607692307692304,ED_DANGEROUS,2,"iso_forest, lof"
Minsk,Belarus,-17.6,-17.6,1,29.277999712160216,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Sarajevo,Bosnia and Herzegovina,3.1,3.1,4,32.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ottawa,Canada,-16.8,-16.8,1,25.79044514686844,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Djibouti,Djibouti,34.2,38.5,1,34.833333333333336,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Riga,Latvia,-19.8,-19.8,1,28.145449201468608,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Moscow,Russia,-2.9,-2.9,4,41.90114696458184,ED_CAUTION,2,"iso_forest, lof"
Vilnius,Lithuania,-18.7,-18.7,1,29.296489769329305,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Beijing,China,3.3,3.3,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Tokyo,Japan,5.4,5.4,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Honiara,Solomon Islands,30.4,38.5,1,25.833333333333336,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Athens,Greece,33.2,38.2,1,31.33333333333334,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Kyiv,Ukraine,-14.4,-14.4,1,26.14028650705027,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Minsk,Belarus,-19.9,-19.9,1,29.764239248553793,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Sarajevo,Bosnia and Herzegovina,3.4,3.4,4,32.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ulaanbaatar,Mongolia,-10.8,-10.8,2,26.20127232692518,ED_MODERATE_SAFE,2,"iso_forest, lof"
Yaren,Turkey,0.3,0.3,1,9.050797622245895,ED_VERY_SAFE,2,"iso_forest, lof"
Tallinn,Estonia,-15.7,-15.7,1,24.553125369824865,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Doha,Qatar,39.3,47.8,3,65.84615384615384,ED_DANGEROUS,2,"iso_forest, lof"
Riga,Latvia,-19.7,-19.7,1,28.81289742932634,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Vilnius,Lithuania,-18.8,-18.8,1,27.478531519529366,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Helsinki,Finland,-18.9,-18.9,1,28.52561564356848,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Helsinki,Finland,-16.8,-16.8,1,25.041419351471443,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Riyadh,Saudi Arabia,44.4,46.9,5,100.0,ED_VERY_DANGEROUS,2,"iso_forest, lof"
Chi Chi Khvar,Iran,-5.3,-5.3,1,19.54337401149281,ED_MODERATE_SAFE,2,"iso_forest, lof"
Astana,Kazakhstan,-15.7,-15.7,1,26.914635735723014,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Ottawa,Canada,-23.2,-23.2,1,34.40609644261959,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Kuwait City,Kuwait,17.2,17.2,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Helsinki,Finland,-22.7,-22.7,1,31.30632584625901,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Ottawa,Canada,-13.9,-13.9,1,27.10909889066448,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Ljubljana,Slovenia,3.1,3.1,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Riyadh,Saudi Arabia,10.1,10.1,6,57.05,ED_DANGEROUS,2,"iso_forest, lof"
Kuwait City,Kuwait,42.3,44.4,1,44.92307692307692,ED_CAUTION,2,"iso_forest, lof"
Doha,Qatar,19.2,19.2,4,37.1,ED_CAUTION,2,"iso_forest, lof"
Addis Ababa,Ethiopia,16.2,16.2,2,20.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ulaanbaatar,Mongolia,-6.0,-6.0,2,17.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Chi Chi Khvar,Iran,-8.7,-8.7,2,31.006547064829803,ED_MODERATE_SAFE,2,"iso_forest, lof"
Nouakchott,Mauritania,22.2,23.2,4,35.0,ED_CAUTION,2,"iso_forest, lof"
Kuwait City,Kuwait,11.7,11.7,3,23.1,ED_MODERATE_SAFE,2,"iso_forest, lof"
Baghdad,Iraq,10.0,10.0,1,3.5,ED_VERY_SAFE,2,"iso_forest, lof"
Chi-Chi-Erh,Russia,-20.9,-20.9,1,24.083333333333332,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Moscow,Russia,-13.8,-13.8,2,32.28903046199031,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Zagreb,Croatia,3.2,3.2,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ulaanbaatar,Mongolia,1.2,1.2,1,0.0,ED_VERY_SAFE,2,"iso_forest, lof"
Tashkent,Uzbekistan,41.3,42.0,1,42.15384615384615,ED_CAUTION,2,"iso_forest, lof"
Manama,Bahrain,34.3,49.2,4,89.08653846153847,ED_VERY_DANGEROUS,2,"iso_forest, lof"
Vilnius,Lithuania,-15.6,-15.6,1,25.555709734816602,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Kuwait City,Kuwait,45.2,49.2,5,100.0,ED_VERY_DANGEROUS,2,"iso_forest, lof"
Ulaanbaatar,Mongolia,4.1,4.1,1,0.0,ED_VERY_SAFE,2,"iso_forest, lof"
Chi Chi Khvar,Iran,-6.0,-6.0,2,25.656747498716523,ED_MODERATE_SAFE,2,"iso_forest, lof"
Kyiv,Ukraine,-18.5,-18.5,1,27.30868037642689,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Vestmannaeyjar,Iceland,1.2,1.2,1,9.248264592849203,ED_VERY_SAFE,2,"iso_forest, lof"
Hanoi,Vietnam,31.4,38.4,2,33.666666666666664,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Guatemala City,Guatemala,16.6,16.6,5,49.0,ED_CAUTION,2,"iso_forest, lof"
Vilnius,Lithuania,-16.9,-16.9,1,23.96807998954455,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Djibouti,Djibouti,44.1,46.1,2,55.88461538461539,ED_DANGEROUS,2,"iso_forest, lof"
Tallinn,Estonia,-12.0,-12.0,1,24.097806757051295,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Ottawa,Canada,-18.8,-18.8,1,28.034305325418163,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
New Delhi,India,36.4,40.7,3,48.400000000000006,ED_CAUTION,2,"iso_forest, lof"
Kuwait City,Kuwait,47.9,49.9,5,100.0,ED_VERY_DANGEROUS,2,"iso_forest, lof"
Beijing,China,-3.8,-3.8,1,5.699999999999999,ED_VERY_SAFE,2,"iso_forest, lof"
Kyiv,Ukraine,-18.5,-18.5,1,25.730538545278264,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Djibouti,Djibouti,42.3,44.3,2,51.90769230769231,ED_CAUTION,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,3.0,3.0,1,2.6898475658661507,ED_VERY_SAFE,2,"iso_forest, lof"
Tokyo,Japan,26.3,28.7,1,5.099999999999998,ED_VERY_SAFE,2,"iso_forest, lof"
Addis Ababa,Ethiopia,22.2,22.2,1,12.0,ED_VERY_SAFE,2,"iso_forest, lof"
Moscow,Russia,-17.7,-17.7,2,34.52137894596916,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Ulaanbaatar,Mongolia,-17.9,-17.9,2,37.89717430867455,ED_CAUTION,2,"iso_forest, lof"
Moroni,Comoros,29.7,33.1,2,36.833333333333336,ED_CAUTION,2,"iso_forest, lof"
Valletta,Malta,18.3,18.3,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Vilnius,Lithuania,-16.7,-16.7,1,26.754546627728853,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Bogot,Bulgaria,-0.6,-0.6,3,20.4,ED_MODERATE_SAFE,2,"iso_forest, lof"
Riga,Latvia,-15.6,-15.6,1,23.876147914882083,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Astana,Kazakhstan,-15.0,-15.0,1,24.394821907046513,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Ottawa,Canada,-21.8,-21.8,1,33.41323465407314,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Djibouti,Djibouti,41.1,43.1,1,41.42307692307693,ED_CAUTION,2,"iso_forest, lof"
Baku,Azerbaijan,3.0,3.0,1,7.74744148675447,ED_VERY_SAFE,2,"iso_forest, lof"
Yerevan,Armenia,-1.9,-1.9,1,10.003697962603727,ED_VERY_SAFE,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,10.3,10.3,1,4.0,ED_VERY_SAFE,2,"iso_forest, lof"
Kyiv,Ukraine,-15.8,-15.8,2,33.42117818506317,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Vestmannaeyjar,Iceland,9.2,9.2,1,3.0,ED_VERY_SAFE,2,"iso_forest, lof"
Kuwait City,Kuwait,14.1,14.1,4,36.7,ED_CAUTION,2,"iso_forest, lof"
Ottawa,Canada,-19.6,-19.6,2,34.52060141398263,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Phnom Penh,Cambodia,35.1,39.3,1,27.166666666666664,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Manama,Bahrain,15.4,15.4,2,13.6,ED_VERY_SAFE,2,"iso_forest, lof"
Yerevan,Armenia,-1.7,-1.7,1,5.549999999999999,ED_VERY_SAFE,2,"iso_forest, lof"
Koror,Palau,30.3,38.2,1,30.83333333333334,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Ulaanbaatar,Mongolia,-19.7,-19.7,2,38.11913675945746,ED_CAUTION,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,8.2,8.2,1,0.0,ED_VERY_SAFE,2,"iso_forest, lof"
Bucharest,Romania,-0.9,-0.9,5,53.544763885939226,ED_CAUTION,2,"iso_forest, lof"
Lisbon,Portugal,10.4,10.7,4,32.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Berlin,Germany,-3.8,-3.8,2,23.09960186191922,ED_MODERATE_SAFE,2,"iso_forest, lof"
Skopje,Macedonia,40.2,44.7,2,49.769230769230774,ED_CAUTION,2,"iso_forest, lof"
Oslo,Norway,13.3,13.3,1,6.0,ED_VERY_SAFE,2,"iso_forest, lof"
Tallinn,Estonia,-15.9,-15.9,1,25.858407789144984,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Chi Chi Khvar,Iran,-9.4,-9.4,3,40.39793851665944,ED_CAUTION,2,"iso_forest, lof"
Minsk,Belarus,-11.6,-11.6,1,23.718945916491162,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Beijing,China,1.3,1.3,5,47.679970243166565,ED_CAUTION,2,"iso_forest, lof"
Minsk,Belarus,-4.9,-4.9,3,33.27029790903613,ED_MODERATE_SAFE,2,"iso_forest, lof"
Minsk,Belarus,-16.8,-16.8,1,28.441341574373602,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Minsk,Belarus,-14.8,-14.8,2,33.73914991137864,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Pyongyang,North Korea,0.4,0.4,4,40.12931950302966,ED_CAUTION,2,"iso_forest, lof"
Djibouti,Djibouti,42.3,44.3,2,51.80769230769231,ED_CAUTION,2,"iso_forest, lof"
Riyadh,Saudi Arabia,6.1,6.1,4,36.2,ED_CAUTION,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,4.2,4.2,1,4.750767326871474,ED_VERY_SAFE,2,"iso_forest, lof"
Amsterdam,Netherlands,2.1,2.1,2,11.55026523137186,ED_VERY_SAFE,2,"iso_forest, lof"
Prague,Czech Republic,-6.9,-6.9,3,33.89280963478994,ED_MODERATE_SAFE,2,"iso_forest, lof"
Palikir,Micronesia,31.2,40.8,1,29.666666666666664,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Luxembourg,Luxembourg,-2.7,-2.7,2,15.558831192918916,ED_MODERATE_SAFE,2,"iso_forest, lof"
Vilnius,Lithuania,-13.8,-13.8,2,32.94368436503408,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Kuwait City,Kuwait,7.3,7.3,3,20.7,ED_MODERATE_SAFE,2,"iso_forest, lof"
Sarajevo,Bosnia and Herzegovina,0.1,0.1,4,32.3,ED_MODERATE_SAFE,2,"iso_forest, lof"
Astana,Kazakhstan,-14.9,-14.9,1,25.609300352128407,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Tokyo,Japan,6.2,6.2,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Windhoek,Namibia,27.2,27.2,1,12.599999999999998,ED_VERY_SAFE,2,"iso_forest, lof"
Zagreb,Croatia,-3.7,-3.7,4,37.55,ED_CAUTION,2,"iso_forest, lof"
Hanoi,Vietnam,33.4,42.0,5,87.21634615384616,ED_VERY_DANGEROUS,2,"iso_forest, lof"
Kabul,Afghanistan,-5.8,-5.8,1,10.8,ED_VERY_SAFE,2,"iso_forest, lof"
Chi Chi Khvar,Iran,34.1,34.1,1,30.500000000000004,ED_MODERATE_SAFE,2,"iso_forest, lof"
Prague,Czech Republic,-5.8,-5.8,3,31.111436525071294,ED_MODERATE_SAFE,2,"iso_forest, lof"
Phnom Penh,Cambodia,36.1,38.6,1,28.400000000000002,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Djibouti,Djibouti,45.1,47.1,2,55.43846153846154,ED_DANGEROUS,2,"iso_forest, lof"
Wellington,New Zealand,19.3,19.3,1,0.0,ED_VERY_SAFE,2,"iso_forest, lof"
Palikir,Micronesia,31.2,40.3,1,28.83333333333333,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Tokyo,Japan,7.2,7.2,4,32.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,2.4,2.4,1,8.32127730770079,ED_VERY_SAFE,2,"iso_forest, lof"
Beijing,China,22.3,24.7,6,50.0,ED_CAUTION,2,"iso_forest, lof"
Zagreb,Croatia,-0.8,-0.8,4,33.2,ED_MODERATE_SAFE,2,"iso_forest, lof"
Tehran,Iran,2.3,2.3,4,32.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Beijing,China,2.3,2.3,3,18.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,7.0,7.0,1,0.0,ED_VERY_SAFE,2,"iso_forest, lof"
New Delhi,India,26.4,27.3,4,41.900000000000006,ED_CAUTION,2,"iso_forest, lof"
Port Royal,Jamaica,31.3,40.2,1,34.66666666666667,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Ottawa,Canada,-14.7,-14.7,1,27.573262608208974,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Sarajevo,Bosnia and Herzegovina,-3.8,-3.8,2,13.7,ED_VERY_SAFE,2,"iso_forest, lof"
Vaduz,Liechtenstein,-3.6,-3.6,1,9.106985507735631,ED_VERY_SAFE,2,"iso_forest, lof"
Windhoek,Namibia,27.0,27.0,1,12.0,ED_VERY_SAFE,2,"iso_forest, lof"
Beijing,China,12.1,12.1,6,50.0,ED_CAUTION,2,"iso_forest, lof"
Ulaanbaatar,Mongolia,-5.7,-5.7,2,16.55,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ljubljana,Slovenia,-4.0,-4.0,3,24.0,ED_MODERATE_SAFE,2,"iso_forest, lof"
Riga,Latvia,-5.8,-5.8,4,40.7,ED_CAUTION,2,"iso_forest, lof"
Ulaanbaatar,Mongolia,-28.9,-28.9,3,54.36775946222164,ED_CAUTION,2,"iso_forest, lof"
New Delhi,India,30.3,32.6,4,65.625,ED_DANGEROUS,2,"iso_forest, lof"
Valletta,Malta,14.2,14.2,2,8.0,ED_VERY_SAFE,2,"iso_forest, lof"
Vilnius,Lithuania,-17.9,-17.9,2,33.16013383965168,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Riga,Latvia,-17.7,-17.7,2,33.36524414275682,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Astana,Kazakhstan,-14.9,-14.9,1,25.23364399026081,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Beijing,China,-5.9,-5.9,3,34.42795919376035,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ottawa,Canada,-10.9,-10.9,1,24.06577779494936,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Seoul,South Korea,0.1,0.1,4,40.44871718397407,ED_CAUTION,2,"iso_forest, lof"
Hanoi,Vietnam,34.0,40.8,5,90.22916666666666,ED_VERY_DANGEROUS,2,"iso_forest, lof"
Moscow,Russia,-7.9,-7.9,4,49.85815429761806,ED_CAUTION,2,"iso_forest, lof"
Vestmannaeyjar,Iceland,4.1,4.1,1,5.754228805353147,ED_VERY_SAFE,2,"iso_forest, lof"
Oslo,Norway,16.3,16.3,2,13.0,ED_VERY_SAFE,2,"iso_forest, lof"
Juba,Sudan,25.9,25.9,5,55.3,ED_DANGEROUS,2,"iso_forest, lof"
Abu Dhabi,United Arab Emirates,43.2,45.2,4,86.67115384615384,ED_VERY_DANGEROUS,2,"iso_forest, lof"
Chi Chi Khvar,Iran,1.3,1.3,2,15.705686015974182,ED_MODERATE_SAFE,2,"iso_forest, lof"
Port Royal,Jamaica,30.3,38.5,2,33.833333333333336,ED_MODERATE_SAFE,2,"lof, hot_but_safe"
Ljubljana,Slovenia,-5.0,-5.0,3,25.5,ED_MODERATE_SAFE,2,"iso_forest, lof"
Moscow,Russia,-6.8,-6.8,3,32.61153418263952,ED_MODERATE_SAFE,2,"iso_forest, lof"
Moscow,Russia,-5.7,-5.7,4,44.93878103824868,ED_CAUTION,2,"iso_forest, lof"
Chi Chi Khvar,Iran,32.7,32.7,1,28.16666666666667,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ulaanbaatar,Mongolia,-1.8,-1.8,2,14.452467963763652,ED_VERY_SAFE,2,"iso_forest, lof"
Riga,Latvia,-14.9,-14.9,2,32.16085589383752,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Minsk,Belarus,-23.9,-23.9,2,34.58333333333333,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Kuwait City,Kuwait,8.1,8.1,4,34.4,ED_MODERATE_SAFE,2,"iso_forest, lof"
Ottawa,Canada,-13.9,-13.9,1,25.271673380907007,ED_MODERATE_SAFE,2,"iso_forest, cold_but_safe"
Hanoi,Vietnam,26.2,30.3,1,9.900000000000002,ED_VERY_SAFE,2,"iso_forest, lof"
