location_name,country,latitude,longitude,temperature_celsius,humidity,wind_kph,uv_index,apparent_temp_c,pressure_mb,air_quality_us-epa-index,air_quality_PM2.5,ed_score,ed_category,anomaly_score,anomaly_sources,is_anomaly
Santiago,Chile,-33.45,-70.67,4.3,70,3.6,4.0,4.3,1019.0,6,539.6,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-24.8,99,3.6,0.0,-24.8,1043.0,4,67.895,81.22516684229014,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_pressure_mb, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,11.0,82,6.1,5.0,11.4,1015.0,6,1614.1,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,7.4,32,4.0,3.0,7.4,1020.0,6,939.8,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,3.8,64,5.0,3.0,3.8,1027.0,6,649.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,6.5,71,3.6,4.0,6.5,1021.0,6,625.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,8.7,43,8.3,4.0,8.7,1016.0,6,547.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,10.0,87,6.8,6.0,10.3,1015.0,6,1190.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,3.1,87,6.1,3.0,3.1,1019.0,6,618.0,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,11.2,82,15.1,5.0,11.6,1014.0,6,776.0,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Hanoi,Vietnam,21.03,105.85,31.0,75,9.0,1.0,40.1,1004.0,6,601.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Beijing,China,39.93,116.39,27.1,62,69.1,1.0,27.6,1000.0,5,169.1,81.05855855855856,ED_VERY_DANGEROUS,5,"stat_wind_kph, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-19.9,64,3.6,0.0,-19.9,1024.0,4,95.645,78.01907270811381,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,9.2,93,3.6,4.0,9.4,1016.0,6,559.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,30.2,75,15.1,1.0,36.6,1012.0,6,623.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,5.0,60,3.6,4.0,5.0,1021.0,6,749.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,12.0,77,11.2,5.0,12.2,1015.0,6,1012.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Beijing,China,39.9289,116.3883,1.3,55,3.6,0.0,1.3,1033.0,6,582.38,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,4.0,59,4.0,3.0,4.0,1021.0,6,587.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,29.0,79,9.0,1.0,33.3,1009.0,6,659.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,10.3,68,3.6,5.0,10.3,1013.0,6,976.3,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,8.0,81,6.8,4.0,8.0,1019.0,6,1078.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-18.9,70,3.6,0.0,-18.9,1025.0,5,170.2,98.50825825825825,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,8.0,81,6.8,5.0,8.0,1017.0,6,1018.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Riyadh,Saudi Arabia,24.6408,46.7728,10.1,22,21.6,6.7,10.1,1027.0,6,639.175,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,29.0,75,11.2,1.0,32.8,1010.0,6,650.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,10.7,28,7.9,5.0,10.7,1013.0,6,1188.4,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,3.2,87,9.0,3.0,3.2,1024.0,6,548.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,8.0,87,6.1,5.0,8.0,1020.0,6,843.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-20.8,88,4.3,0.0,-20.8,1027.0,4,81.585,78.32460484720758,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,11.0,76,3.6,4.0,11.0,1015.0,6,646.8,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,29.0,79,6.1,1.0,32.7,1011.0,6,519.4,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,4.4,49,5.0,3.0,4.4,1020.0,6,550.4,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-22.9,70,5.8,0.0,-22.9,1016.0,4,143.93,86.4656326386746,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Riyadh,Saudi Arabia,24.6408,46.7728,14.1,13,21.2,4.5,14.1,1027.0,6,530.58,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,8.4,76,3.6,4.0,8.5,1019.0,6,607.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-22.9,84,3.6,0.0,-22.9,1025.0,4,78.81,79.98688092729188,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,1.1,86,3.6,3.0,1.1,1016.0,6,1204.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,9.2,93,6.1,4.0,9.2,1014.0,6,616.1,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,4.4,87,3.6,4.0,4.4,1017.0,6,784.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,4.2,93,6.8,3.0,4.2,1017.0,6,734.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,7.1,93,3.6,4.0,7.1,1015.0,6,740.1,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,-0.8,100,6.1,3.0,-0.8,1017.0,6,930.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,-0.7,93,6.1,4.0,-0.7,1019.0,6,757.6,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,-1.7,93,3.6,4.0,-1.7,1022.0,6,606.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,3.2,81,3.6,3.0,3.2,1021.0,6,836.0,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Riyadh,Saudi Arabia,24.6408,46.7728,13.2,62,20.2,4.2,13.2,1022.0,6,504.865,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,0.2,93,3.6,3.0,0.2,1020.0,6,571.4,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,4.2,93,3.6,4.0,4.2,1019.0,6,592.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,26.2,89,6.1,1.0,28.9,1013.0,6,739.4,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-23.8,69,3.6,0.0,-23.8,1029.0,4,89.725,81.08192834562698,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,6.1,87,3.6,3.0,6.1,1019.0,6,1119.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,27.1,84,6.1,1.0,29.6,1010.0,6,597.4,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Riyadh,Saudi Arabia,24.6408,46.7728,18.1,37,15.8,2.1,18.1,1019.0,6,563.325,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,4.1,87,6.1,4.0,4.1,1021.0,6,1116.0,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-20.6,84,5.4,0.0,-20.6,1021.0,4,86.765,82.21531117935487,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,4.2,93,3.6,4.0,4.2,1022.0,6,848.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,4.2,87,3.6,4.0,4.2,1020.0,6,568.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,6.2,75,6.8,4.0,6.2,1019.0,6,515.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,27.4,80,6.8,1.0,31.0,1011.0,6,836.5,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-20.8,77,3.6,0.0,-20.8,1023.0,4,94.35,78.72813487881982,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-17.9,84,7.6,0.0,-17.9,1023.0,5,157.62,100.0,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-22.6,70,4.3,0.0,-22.6,1017.0,4,128.39,81.30421496311908,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Jakarta,Indonesia,-6.21,106.85,27.3,84,13.0,1.0,30.7,1013.0,6,622.3,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,7.2,70,11.2,4.0,7.2,1022.0,6,850.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,6.8,31,3.6,4.0,6.9,1020.0,6,844.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,28.1,84,13.0,1.0,31.6,1011.0,6,561.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Riyadh,Saudi Arabia,24.6408,46.7728,21.4,25,20.5,4.6,21.4,1022.0,6,511.71,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,5.8,30,4.3,4.0,5.8,1021.0,6,941.0,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Jakarta,Indonesia,-6.21,106.85,28.0,79,11.2,1.0,31.8,1009.0,6,641.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,-0.6,93,3.6,3.0,-0.6,1024.0,6,989.0,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,10.1,54,3.6,5.0,10.2,1021.0,6,608.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-25.7,57,3.6,0.8,-25.7,1023.0,4,81.45,82.40367053038285,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,6.1,54,5.4,4.0,6.1,1021.0,6,690.1,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-22.0,64,3.6,0.7,-22.0,1020.0,4,90.05,79.59220231822971,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,0.1,93,6.8,3.0,0.1,1019.0,6,612.2,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-20.3,93,6.1,0.0,-20.3,1030.0,4,103.97,82.89140119805548,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,5.3,100,15.1,4.0,5.3,1018.0,6,768.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,2.3,87,3.6,3.0,2.3,1021.0,6,916.4,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,8.0,93,9.0,5.0,8.0,1021.0,6,767.1,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,9.0,76,3.6,5.0,9.1,1019.0,6,920.8,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,2.0,87,6.8,4.0,2.0,1020.0,6,714.1,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-18.6,87,5.4,0.0,-18.6,1039.0,4,114.515,81.1912013597566,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_pressure_mb, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,5.0,75,3.6,5.0,5.0,1024.0,6,554.7,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Riyadh,Saudi Arabia,24.6408,46.7728,18.2,24,20.5,6.0,18.2,1016.0,6,553.15,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-20.8,77,3.6,0.0,-20.8,1014.0,4,100.825,78.93282402528978,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,6.0,93,3.6,4.0,6.0,1020.0,6,557.9,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,9.3,47,4.0,4.0,9.3,1015.0,6,983.8,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Santiago,Chile,-33.45,-70.67,10.0,94,11.2,4.0,10.3,1015.0,6,579.3,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
Ulaanbaatar,Mongolia,47.9167,106.9167,-21.9,70,3.6,0.0,-21.9,1027.0,4,139.12,81.06008078679312,ED_VERY_DANGEROUS,5,"stat_temperature_celsius, stat_apparent_temp_c, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest",True
Santiago,Chile,-33.45,-70.67,5.2,43,5.4,4.0,5.2,1024.0,6,863.6,100.0,ED_VERY_DANGEROUS,5,"stat_air_quality_us-epa-index, stat_air_quality_PM2.5, context_high_ed_low_comp, ml_isolated_forest, data_out_of_range",True
